,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
35,0 days 01:08:14.119000,NOR,4,0 days 00:01:17.518000,15.0,3.0,,,27.089,17.558,32.871,0 days 01:07:23.690000,0 days 01:07:41.248000,0 days 01:08:14.119000,285.0,320.0,307.0,325.0,True,SOFT,3.0,True,McLaren,0 days 01:06:56.601000,2025-03-14 02:22:24.610,1,,False,,False,True,77.518,77.518
36,0 days 01:10:13.269000,NOR,4,0 days 00:01:59.150000,16.0,3.0,,,40.744,26.417,51.989,0 days 01:08:54.863000,0 days 01:09:21.280000,0 days 01:10:13.269000,204.0,184.0,169.0,288.0,False,SOFT,4.0,True,McLaren,0 days 01:08:14.119000,2025-03-14 02:23:42.128,1,,False,,False,True,119.15,119.15
37,0 days 01:12:02.856000,NOR,4,0 days 00:01:49.587000,17.0,3.0,,,38.646,24.611,46.33,0 days 01:10:51.915000,0 days 01:11:16.526000,0 days 01:12:02.856000,200.0,217.0,303.0,188.0,False,SOFT,5.0,True,McLaren,0 days 01:10:13.269000,2025-03-14 02:25:41.278,1,,False,,False,True,109.587,109.587
38,0 days 01:13:20.108000,NOR,4,0 days 00:01:17.252000,18.0,3.0,,,26.975,17.386,32.891,0 days 01:12:29.831000,0 days 01:12:47.217000,0 days 01:13:20.108000,284.0,322.0,306.0,321.0,True,SOFT,6.0,True,McLaren,0 days 01:12:02.856000,2025-03-14 02:27:30.865,1,,False,,False,True,77.252,77.25200000000001
39,0 days 01:14:44.079000,NOR,4,0 days 00:01:23.971000,19.0,3.0,,,30.75,18.318,34.903,0 days 01:13:50.858000,0 days 01:14:09.176000,0 days 01:14:44.079000,256.0,303.0,294.0,288.0,False,SOFT,7.0,True,McLaren,0 days 01:13:20.108000,2025-03-14 02:28:48.117,12,,False,,False,True,83.971,83.971
40,0 days 01:17:15.616000,NOR,4,,20.0,3.0,,,32.655,22.089,96.686,0 days 01:15:17.003000,0 days 01:15:39.055000,0 days 01:17:15.616000,234.0,253.0,101.0,305.0,False,SOFT,8.0,True,McLaren,0 days 01:14:44.079000,2025-03-14 02:30:12.088,1,,False,,False,False,,151.43
41,0 days 01:18:50.654000,NOR,4,,21.0,3.0,,0 days 01:18:50.654000,33.314,27.698,,0 days 01:17:49.092000,0 days 01:18:16.775000,,159.0,238.0,,258.0,False,SOFT,9.0,True,McLaren,0 days 01:17:15.616000,2025-03-14 02:32:43.625,1,,False,,False,False,,
42,0 days 00:16:51.649000,BOR,5,0 days 00:02:02.622000,1.0,1.0,0 days 00:14:51.099000,,45.37,22.406,54.846,0 days 00:15:34.680000,0 days 00:15:57.067000,0 days 00:16:51.768000,214.0,267.0,289.0,157.0,False,MEDIUM,1.0,True,Kick Sauber,0 days 00:14:51.099000,2025-03-14 01:30:19.108,1,,False,,False,False,122.622,122.62199999999999
43,0 days 00:18:16.835000,BOR,5,0 days 00:01:25.186000,2.0,1.0,,,29.865,18.808,36.513,0 days 00:17:21.514000,0 days 00:17:40.322000,0 days 00:18:16.835000,265.0,313.0,292.0,305.0,True,MEDIUM,2.0,True,Kick Sauber,0 days 00:16:51.649000,2025-03-14 01:32:19.658,1,,False,,False,True,85.186,85.186
44,0 days 00:20:20.754000,BOR,5,0 days 00:02:03.919000,3.0,1.0,,,42.568,31.22,50.131,0 days 00:18:59.403000,0 days 00:19:30.623000,0 days 00:20:20.754000,189.0,170.0,294.0,225.0,False,MEDIUM,3.0,True,Kick Sauber,0 days 00:18:16.835000,2025-03-14 01:33:44.844,1,,False,,False,True,123.919,123.919
